Municipio,Categoría,SO2
San Pedro Garza García,Emisiones biogénicas,0.0
San Pedro Garza García,Fuentes industriales ligeras y comerciales,0.0
San Pedro Garza García,Fuentes misceláneas,0.22
San Pedro Garza García,Generación de energía eléctrica ,0.1
San Pedro Garza García,Manejo de Residuos,0.0
San Pedro Garza García,Metalúrgica (incluye la siderúrgica) ,0.02
San Pedro Garza García,Metálico,0.0
San Pedro Garza García,Minerales no metálicos,44.06
San Pedro Garza García,No carreteras,0.7
San Pedro Garza García,Quema de combustibles en fuentes estacionarias,0.17
San Pedro Garza García,Química ,0.08
San Pedro Garza García,Uso de Solventes,0.0
Santa Catarina,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.04
Santa Catarina,Agropecuarias,0.01
Santa Catarina,Alimentos y bebidas,0.06
Santa Catarina,Almacenamiento y transporte de derivados de petróleo,0.0
Santa Catarina,Automotriz ,0.03
Santa Catarina,Carreteras,7.65
Santa Catarina,Celulosa y papel ,0.03
Santa Catarina,Derivados del petróleo y carbón,0.21
Santa Catarina,Emisiones biogénicas,0.0
Santa Catarina,Extracción/Beneficio minerales no metálicos,0.14
Santa Catarina,Fuentes industriales ligeras y comerciales,0.0
Santa Catarina,Fuentes misceláneas,0.12
Santa Catarina,Impresión,0.0
Santa Catarina,Industria textil,0.0
Santa Catarina,Manejo de Residuos,0.0
Santa Catarina,Manejo de desechos y remediación,0.0
Santa Catarina,Metalúrgica (incluye la siderúrgica) ,0.17
Santa Catarina,Metálico,0.01
Santa Catarina,Minerales no metálicos,0.0
Santa Catarina,No carreteras,0.37
Santa Catarina,Papel y cartón,0.01
Santa Catarina,Petróleo y petroquímica,0.0
Santa Catarina,Pinturas y tintas ,0.03
Santa Catarina,Plástico y hule,0.03
Santa Catarina,Quema de combustibles en fuentes estacionarias,0.33
Santa Catarina,Química ,0.06
Santa Catarina,Tratamiento de residuos peligrosos ,0.0
Santa Catarina,Uso de Solventes,0.0
Santiago,Agropecuarias,0.0
Santiago,Almacenamiento y transporte de derivados de petróleo,0.0
Santiago,Carreteras,2.01
Santiago,Emisiones biogénicas,0.0
Santiago,Fuentes industriales ligeras y comerciales,0.0
Santiago,Fuentes misceláneas,6.14
Santiago,Manejo de Residuos,0.0
Santiago,No carreteras,0.03
Santiago,Quema de combustibles en fuentes estacionarias,0.13
Santiago,Uso de Solventes,0.0
,,16602.49
